TFBS_chr	TFBS_start	TFBS_end	TFBS_strand	TFBS_score	98JKPD8_LumA_score	ANAB5F7_Basal_score	S6R691V_Her2_score	PU24GB8_LumB_score	2GAMBDQ_Normal-like_score
chr1	191257	191268	-	8.13696	0	0	0	0	0
chr1	818021	818032	+	9.99855	0.02966	0.04399	0.02131	0.0347	0.03443
chr1	818780	818791	-	7.62863	0.02572	0.02376	0.02271	0.02814	0.03391
chr1	960570	960581	+	8.6804	0.28046	0.335	0.28495	0.27618	0.22986
chr1	977015	977026	-	7.22759	1.10047	0.50514	0.71035	1.21305	1.30155
chr1	977047	977058	-	7.22759	0.88179	0.40974	0.53173	0.98628	1.07101
chr1	977110	977121	-	7.22759	0.13137	0.08845	0.10541	0.16812	0.15493
chr1	977142	977153	-	7.22759	0.14436	0.08225	0.09233	0.17809	0.14291
chr1	977174	977185	-	7.22759	0.22616	0.10631	0.13808	0.24319	0.22306
chr1	977206	977217	-	7.22759	0.2971	0.15487	0.21703	0.33427	0.31093
chr1	977330	977341	-	7.22759	0.4323	0.18695	0.22405	0.45337	0.43808
chr1	977362	977373	-	7.22759	0.30926	0.13191	0.15245	0.3228	0.28555
chr1	977394	977405	-	7.22759	0.22486	0.09668	0.12997	0.24347	0.24228
chr1	977426	977437	-	7.22759	0.13061	0.06286	0.09008	0.15594	0.13837
chr1	977458	977469	-	7.22759	0.08749	0.05332	0.0737	0.10838	0.06941
chr1	977490	977501	-	7.22759	0.1045	0.05614	0.06522	0.09909	0.07279
chr1	977522	977533	-	7.22759	0.1197	0.05847	0.05764	0.09909	0.07305
chr1	977586	977597	-	7.22759	0.1121	0.05798	0.06109	0.10402	0.08953
chr1	977618	977629	-	7.22759	0.10493	0.05682	0.06157	0.10402	0.09492
chr1	977682	977693	-	7.22759	0.13628	0.0678	0.07093	0.09131	0.10189
chr1	986626	986637	+	8.04317	0.06207	0.01957	0.02828	0.05148	0.04807
chr1	996339	996350	+	9.5608	0.08072	0.04823	0.06484	0.05456	0.06911
chr1	998799	998810	-	8.8098	0.18224	0.18346	0.16911	0.19714	0.13315
chr1	999627	999638	+	7.27297	0.22751	0.11144	0.14534	0.1925	0.1383
chr1	1001633	1001644	+	9.89663	0.1499	0.09145	0.08237	0.11098	0.10277
chr1	1019832	1019843	-	7.59808	0.52715	0.39803	0.37521	0.52936	0.43562
chr1	1020018	1020029	+	8.201	0.60906	0.52767	0.50946	0.64164	0.49198
chr1	1020936	1020947	+	8.34336	0.30508	0.21614	0.20883	0.26597	0.23615
chr1	1041174	1041185	+	7.43001	0.06104	0.0575	0.05748	0.08209	0.04792
chr1	1106797	1106808	+	10.18498	0.01806	0.01926	0.02241	0.02997	0.02284
chr1	1116901	1116912	-	7.88648	0.10996	0.06556	0.08093	0.09202	0.08772
chr1	1137112	1137123	+	7.30677	0.13955	0.08972	0.08301	0.09764	0.12653
chr1	1153718	1153729	-	7.27297	0.05031	0.04632	0.05272	0.04016	0.06087
chr1	1157204	1157215	+	8.13696	0.12421	0.11938	0.12869	0.11965	0.08438
chr1	1162667	1162678	+	7.23165	0.28167	0.25153	0.23026	0.27076	0.26413
chr1	1163034	1163045	-	7.27623	0.39467	0.27603	0.30178	0.30937	0.32774
chr1	1173766	1173777	-	7.51571	0.01903	0.0267	0.036	0.03138	0.02607
chr1	1206335	1206346	+	7.88648	0.05609	0.051	0.04847	0.06994	0.0736
chr1	1206436	1206447	-	7.2158	0.04943	0.0366	0.04472	0.04612	0.0576
chr1	1208636	1208647	+	8.201	0.1252	0.08359	0.10539	0.11912	0.11029
chr1	1226256	1226267	+	8.86026	0.02419	0.03662	0.03183	0.01974	0.01728
chr1	1260305	1260316	+	8.28789	0.02099	0.01292	0.01171	0.01725	0.01661
chr1	1292098	1292109	+	7.18244	0.19036	0.22319	0.21235	0.21458	0.19146
chr1	1315766	1315777	+	8.201	0.03357	0.0238	0.02773	0.0452	0.02518
chr1	1315847	1315858	+	8.13696	0.06352	0.04178	0.03406	0.0785	0.02778
chr1	1472123	1472134	+	8.77925	0.09561	0.0757	0.06408	0.09712	0.09093
chr1	1596316	1596327	+	7.59808	0.019	0.0129	0.01664	0.01406	0.02301
chr1	1616037	1616048	-	8.48794	0.10506	0.09502	0.10049	0.10392	0.07653
chr1	1631609	1631620	-	7.42704	0.04929	0.05325	0.05805	0.05926	0.0604
chr1	1701086	1701097	+	8.64986	0.02453	0.03177	0.02279	0.03316	0.02721
chr1	1927826	1927837	+	8.85024	0.02811	0.02617	0.0265	0.03179	0.02946
chr1	1979434	1979445	+	7.48643	0.02567	0.02038	0.02527	0.0157	0.02978
chr1	1979492	1979503	+	7.48643	0.02194	0.01939	0.02297	0.01543	0.02633
chr1	2050440	2050451	-	8.8098	0.5242	0.47717	0.5077	0.52966	0.45082
chr1	2050462	2050473	-	8.6804	0.33245	0.28083	0.32661	0.31294	0.27617
chr1	2166456	2166467	-	7.81185	0.09969	0.03283	0.14195	0.14383	0.12302
chr1	2251141	2251152	-	7.27297	0.08703	0.07567	0.11573	0.0708	0.05439
chr1	2283866	2283877	+	7.81185	0.02108	0.01825	0.02538	0.02557	0.02186
chr1	2314612	2314623	+	7.53684	0.14402	0.1898	0.12144	0.16099	0.21835
chr1	2323112	2323123	-	7.62863	0.10047	0.13084	0.0667	0.08957	0.21011
chr1	2331795	2331806	-	7.4069	0.01387	0.02092	0.01907	0.01862	0.0234
chr1	2331844	2331855	-	8.23563	0.02098	0.02556	0.02067	0.02802	0.02576
chr1	2331972	2331983	-	8.23563	0.0211	0.03025	0.02526	0.01936	0.02489
chr1	2331989	2332000	-	7.72876	0.01986	0.02528	0.02567	0.01936	0.02489
chr1	2413482	2413493	+	7.80828	0.17514	0.13981	0.18555	0.15168	0.12394
chr1	2428282	2428293	+	8.13696	0.01854	0.01865	0.02314	0.02344	0.0371
chr1	2443466	2443477	-	8.30293	0.06208	0.02584	0.04916	0.02583	0.05877
chr1	2443945	2443956	+	7.52054	0.02521	0.02304	0.03096	0.02529	0.02377
chr1	2444139	2444150	+	8.77925	0.03436	0.01946	0.03438	0.02341	0.02912
chr1	2467423	2467434	-	8.00529	0.03683	0.02758	0.04032	0.04482	0.02145
chr1	2494696	2494707	-	7.62863	0.01939	0.03114	0.02672	0.03162	0.03049
chr1	2535009	2535020	+	7.30352	0.1946	0.20869	0.22813	0.2457	0.20271
chr1	2576899	2576910	+	7.25824	0.08397	0.09458	0.10718	0.11645	0.0614
chr1	2586487	2586498	+	7.26921	1.80234	1.57567	1.70673	1.76233	1.82274
chr1	2597991	2598002	-	7.20711	0.01773	0.01859	0.02912	0.02735	0.02552
chr1	2688569	2688580	-	7.27903	0.01707	0.01096	0.01816	0.0233	0.02276
chr1	2822312	2822323	+	7.80828	0.04317	0.02189	0.03946	0.03544	0.03396
chr1	2849182	2849193	+	7.59528	0.02619	0.02429	0.0421	0.03247	0.02236
chr1	2849214	2849225	+	7.59528	0.0222	0.02156	0.03456	0.02648	0.02223
chr1	2849467	2849478	+	7.59528	0.02806	0.02264	0.03781	0.0321	0.04176
chr1	2849658	2849669	+	7.59528	0.01985	0.01521	0.02613	0.02468	0.02717
chr1	3072754	3072765	+	9.36695	0.0196	0.01157	0.02247	0.02153	0.02578
chr1	3104494	3104505	+	8.17159	0.01878	0.00918	0.02003	0.01461	0.02867
chr1	3105757	3105768	-	8.58581	0.01136	0.00996	0.02267	0.01557	0.02304
chr1	3283902	3283913	+	7.21821	0.02104	0.01242	0.02169	0.01895	0.02706
chr1	3365449	3365460	-	7.87589	0.00976	0.00612	0.02002	0.01164	0.01352
chr1	3456910	3456921	-	7.78678	0.1374	0.03721	0.12642	0.10469	0.06465
chr1	3471700	3471711	+	10.9284	0.0225	0.02162	0.02623	0.02868	0.02083
chr1	3483021	3483032	-	7.78678	0.05772	0.03155	0.06367	0.05175	0.04949
chr1	3491117	3491128	+	8.07748	0.04926	0.04309	0.06434	0.05258	0.04704
chr1	3553377	3553388	+	8.00529	0.02721	0.018	0.03349	0.01924	0.03145
chr1	3625314	3625325	+	7.76457	0.17347	0.12467	0.11486	0.15455	0.12566
chr1	3651972	3651983	-	7.72273	0.04313	0.04841	0.04413	0.04733	0.03041
chr1	3653047	3653058	-	8.201	0.07863	0.04912	0.05257	0.0775	0.05414
chr1	3710214	3710225	+	7.32924	0.05308	0.04921	0.06025	0.05767	0.05255
chr1	3777180	3777191	-	7.70001	0.08807	0.04065	0.0916	0.05305	0.04483
chr1	3788704	3788715	+	8.86026	0.0228	0.04726	0.02739	0.02261	0.02667
chr1	3824819	3824830	+	7.30141	0.01275	0.01109	0.01913	0.01422	0.02537
chr1	3857731	3857742	+	7.45758	0.46706	0.42055	0.35795	0.35094	0.36332
chr1	4048519	4048530	+	7.33196	0.01016	0.00756	0.00763	0.01028	0.01776
chr1	4390188	4390199	+	7.59106	0.01792	0.01196	0.01082	0.01612	0.03383
chr1	5274703	5274714	+	8.61708	0.01264	0.00947	0.00594	0.00777	0.01453
chr1	5991855	5991866	+	7.8151	0.12679	0.1203	0.10832	0.12932	0.14349
chr1	5992404	5992415	+	7.21821	1.13632	0.97229	0.99966	1.16161	1.07185
chr1	6179553	6179564	+	8.20833	0.02199	0.01959	0.02921	0.01789	0.01927
chr1	6236167	6236178	+	7.29869	0.33418	0.42938	0.30526	0.3783	0.39478
chr1	6374222	6374233	+	7.87589	0.04375	0.03795	0.04111	0.03838	0.05601
chr1	6386272	6386283	-	7.78678	0.06888	0.08849	0.07613	0.06844	0.07955
chr1	6404872	6404883	-	8.4239	0.12265	0.10692	0.11805	0.12255	0.10256
chr1	6602457	6602468	+	7.32924	0.23628	0.16064	0.20516	0.18243	0.15117
chr1	6735827	6735838	+	7.24876	0.01163	0.01378	0.01101	0.01184	0.0163
chr1	6758605	6758616	-	7.27297	0.01175	0.00755	0.00832	0.01253	0.0231
chr1	6758655	6758666	-	7.53684	0.01281	0.00694	0.01	0.01024	0.01653
chr1	6784469	6784480	+	7.33001	0.22428	0.21704	0.19747	0.21905	0.22658
chr1	7374055	7374066	-	7.42704	0.01391	0.02515	0.0127	0.01291	0.02927
chr1	7617070	7617081	-	10.16372	0.03702	0.00681	0.02802	0.01238	0.02285
chr1	7673035	7673046	+	7.20711	0.01722	0.01761	0.0182	0.01632	0.02139
chr1	7680742	7680753	+	7.78678	0.04025	0.041	0.02915	0.04759	0.0444
chr1	7705631	7705642	-	10.16372	0.05103	0.03345	0.03085	0.0315	0.05644
chr1	7725182	7725193	+	8.64033	0.01113	0.01363	0.00734	0.01313	0.01593
chr1	7784244	7784255	+	8.8098	1.10567	0.85973	0.85776	1.14559	1.03406
chr1	7892663	7892674	+	7.42704	0.00687	0.00996	0.0064	0.00947	0.01469
chr1	7942577	7942588	-	8.64986	0.0342	0.04833	0.03669	0.04579	0.04153
chr1	8211949	8211960	+	7.36299	0.17094	0.26984	0.15484	0.17223	0.2913
chr1	8238140	8238151	-	10.18498	0.06476	0.02706	0.05587	0.0666	0.07225
chr1	8598018	8598029	-	9.80426	0.02029	0.01549	0.01918	0.01824	0.01898
chr1	8679918	8679929	+	8.44604	0.04468	0.02442	0.05031	0.04369	0.02402
chr1	9129301	9129312	-	8.27238	2.68381	2.60836	2.90881	2.75918	2.50846
chr1	9251639	9251650	-	7.59106	0.02537	0.02274	0.02257	0.02483	0.0226
chr1	9280382	9280393	-	7.59808	0.03147	0.04221	0.02987	0.04202	0.03007
chr1	9280418	9280429	-	7.59808	0.04518	0.05806	0.05313	0.07451	0.05776
chr1	9342563	9342574	-	7.46167	0.06736	0.06942	0.07829	0.06801	0.07995
chr1	9377009	9377020	+	8.04694	0.03003	0.02513	0.02869	0.04357	0.04651
