TFBS_chr	TFBS_start	TFBS_end	TFBS_strand	TFBS_score	98JKPD8_LumA_score	ANAB5F7_Basal_score	S6R691V_Her2_score	PU24GB8_LumB_score	2GAMBDQ_Normal-like_score
chr1	10628	10638	+	7.40189	0	0	0	0	0
chr1	181224	181234	+	7.99866	0	0	0	0	0
chr1	779214	779224	-	7.79647	0	0	0	0	0
chr1	998754	998764	+	8.56029	0.1376	0.14035	0.12842	0.145	0.1051
chr1	998768	998778	+	8.56029	0.18224	0.16708	0.16911	0.18302	0.12759
chr1	1019693	1019703	-	8.56029	0.62259	0.37945	0.48929	0.6442	0.49222
chr1	1041096	1041106	+	7.46801	0.09605	0.09756	0.09064	0.12759	0.11016
chr1	1164827	1164837	-	7.84977	0.11027	0.14995	0.07396	0.06785	0.08079
chr1	1206766	1206776	+	7.38106	0.06736	0.06397	0.04198	0.0692	0.07282
chr1	1309989	1309999	-	7.97731	0.12305	0.14405	0.14126	0.12454	0.09646
chr1	2116135	2116145	-	7.5636	0.01503	0.01988	0.01485	0.01499	0.01662
chr1	2301081	2301091	-	8.20503	0.08955	0.10658	0.12331	0.13134	0.10499
chr1	2688575	2688585	+	9.84078	0.01687	0.01096	0.01816	0.0233	0.02276
chr1	2894783	2894793	+	8.29113	0.01696	0.00986	0.01866	0.02103	0.02038
chr1	3072755	3072765	+	8.8879	0.0196	0.01161	0.02303	0.02153	0.02578
chr1	3219624	3219634	-	7.38106	0.0305	0.02996	0.02173	0.0176	0.02431
chr1	3471701	3471711	+	8.29113	0.02253	0.02162	0.02623	0.02728	0.02083
chr1	3650053	3650063	+	9.24401	0.25314	0.24586	0.19797	0.25046	0.20386
chr1	3651972	3651982	-	8.29113	0.04313	0.04841	0.04413	0.04733	0.03041
chr1	3900324	3900334	-	7.79562	1.70513	1.50013	1.39244	1.80055	1.66433
chr1	4078159	4078169	-	8.7485	0.02862	0.01859	0.02679	0.01975	0.02004
chr1	4655779	4655789	+	7.99866	0.02275	0.0186	0.02098	0.01786	0.02623
chr1	5708052	5708062	-	7.86975	0.01833	0.01156	0.01037	0.0072	0.0128
chr1	6183205	6183215	+	8.61959	0.0188	0.03096	0.02685	0.02187	0.02461
chr1	6425014	6425024	-	7.38191	0.17758	0.10046	0.13639	0.12999	0.10772
chr1	6466567	6466577	+	7.38054	0.01955	0.03409	0.02939	0.01878	0.02433
chr1	7198871	7198881	+	7.38054	0.03328	0.00828	0.02212	0.023	0.03224
chr1	7316873	7316883	-	7.79562	0.01596	0.00626	0.01109	0.01919	0.01765
chr1	8951472	8951482	+	8.97485	0.01471	0.0457	0.00968	0.00878	0.015
chr1	9319348	9319358	+	8.29113	0.02024	0.0902	0.03253	0.02852	0.02864
chr1	9495472	9495482	-	8.7485	0.1121	0.11095	0.08392	0.10746	0.09748
chr1	10451529	10451539	-	7.38191	0.02963	0.02708	0.01998	0.036	0.02207
chr1	11169457	11169467	+	8.61959	0.01369	0.02343	0.01601	0.01256	0.01594
chr1	11926512	11926522	+	7.46801	0.7678	0.94467	0.82304	0.93835	0.77497
chr1	12519857	12519867	+	8.15174	0.02062	0.01815	0.02806	0.02777	0.02595
chr1	13906951	13906961	-	8.29113	0.02594	0.00634	0.00756	0.01202	0.02674
chr1	14681131	14681141	-	8.06478	0.01292	0.01082	0.01568	0.01429	0.02209
chr1	15604728	15604738	-	8.15174	0.03726	0.04211	0.04089	0.03982	0.03107
chr1	17186474	17186484	-	8.8018	0.02327	0.03932	0.02411	0.01829	0.02445
chr1	19029311	19029321	+	8.06478	0.0248	0.04299	0.03004	0.03444	0.02557
chr1	19274110	19274120	+	7.6497	0.06567	0.02432	0.04627	0.0575	0.05943
chr1	19436191	19436201	-	7.84977	0.07365	0.04281	0.04783	0.04818	0.07049
chr1	20111042	20111052	+	8.97485	0.06325	0.12251	0.0454	0.05831	0.06841
chr1	20445355	20445365	+	9.65858	0.01387	0.00716	0.01947	0.02773	0.10478
chr1	20589092	20589102	-	8.11756	0.02111	0.07288	0.03502	0.02704	0.0306
chr1	20683109	20683119	+	8.8879	0.02226	0.01359	0.01841	0.01829	0.01448
chr1	21595131	21595141	-	7.79562	0.02423	0.01713	0.02142	0.02503	0.01914
chr1	21957171	21957181	-	8.29113	0.43889	0.41537	0.38804	0.33926	0.39376
chr1	23436954	23436964	+	8.03146	0.02547	0.02748	0.02766	0.01865	0.02004
chr1	24724725	24724735	-	7.70952	0.37386	0.24178	0.34962	0.26009	0.20831
chr1	25495195	25495205	+	8.20503	0.08339	0.01854	0.03718	0.06702	0.09505
chr1	26079342	26079352	-	8.8879	0.02827	0.01329	0.02489	0.02297	0.02448
chr1	27155032	27155042	+	8.22501	0.33208	0.26407	0.27399	0.36709	0.31397
chr1	27356488	27356498	-	8.03146	0.03592	0.03331	0.03909	0.04017	0.06029
chr1	27366475	27366485	+	7.6497	0.21254	0.15146	0.18438	0.1908	0.15863
chr1	27568736	27568746	-	8.15174	0.66751	0.73226	0.54666	0.68057	0.74878
chr1	27880074	27880084	-	8.16037	0.02142	0.02257	0.0267	0.01604	0.02204
chr1	28307602	28307612	+	7.97731	0.01635	0.01709	0.01484	0.0142	0.018
chr1	29932692	29932702	+	8.38672	0.05965	0.01213	0.02161	0.03433	0.1135
chr1	30730636	30730646	-	8.82178	0.01857	0.01814	0.02345	0.01946	0.01649
chr1	30753288	30753298	+	8.97485	0.02178	0.02196	0.02673	0.02187	0.01913
chr1	30908817	30908827	+	7.38054	0.17823	0.18079	0.13506	0.19108	0.17455
chr1	30908874	30908884	-	8.56029	0.11069	0.12153	0.09549	0.12258	0.11769
chr1	31511690	31511700	-	7.93587	0.09135	0.03053	0.11005	0.08855	0.07708
chr1	32618771	32618781	+	8.29113	0.01465	0.01358	0.01834	0.01353	0.01668
chr1	32804369	32804379	-	7.88258	0.03903	0.03072	0.04168	0.0472	0.03284
chr1	33349842	33349852	-	9.15654	0.51404	0.43296	0.42744	0.48945	0.45192
chr1	34406238	34406248	+	7.88258	0.02978	0.01062	0.02217	0.0208	0.03055
chr1	36176489	36176499	-	8.15174	0.02258	0.02867	0.03291	0.03183	0.03133
chr1	36475380	36475390	+	7.5636	0.03479	0.02052	0.04238	0.03887	0.02163
chr1	36736547	36736557	-	8.20503	0.02714	0.00787	0.02238	0.01253	0.01325
chr1	37474397	37474407	+	9.24401	1.54836	1.24604	1.48403	1.43516	1.38882
chr1	39544151	39544161	-	7.79647	0.0318	0.01932	0.02279	0.01754	0.03052
chr1	39788660	39788670	+	8.13754	0.10072	0.11578	0.10457	0.09778	0.15134
chr1	40980329	40980339	-	8.56029	0.11764	0.1176	0.11902	0.11739	0.09563
chr1	42731836	42731846	+	8.29113	0.01291	0.01549	0.01155	0.01051	0.01593
chr1	43707751	43707761	-	7.46801	0.33994	0.36318	0.2544	0.31297	0.2231
chr1	52351036	52351046	-	7.95585	0.04423	0.05117	0.03647	0.0419	0.06602
chr1	53220701	53220711	-	7.38191	1.13837	1.03092	0.85606	1.05175	1.08058
chr1	53630913	53630923	+	7.70952	0.00826	0.00599	0.00587	0.00919	0.00917
chr1	54781415	54781425	+	7.40189	0.01706	0.02846	0.02533	0.02749	0.03214
chr1	54833979	54833989	+	7.97868	0.03895	0.01072	0.0261	0.04022	0.02565
chr1	54858130	54858140	-	7.5636	0.05136	0.02867	0.05432	0.06217	0.0314
chr1	58687336	58687346	+	7.38054	0.06567	0.01812	0.14642	0.10731	0.05692
chr1	60912249	60912259	+	7.46801	0.01658	0.12652	0.01905	0.01844	0.02633
chr1	62753456	62753466	+	7.5636	0.01794	0.01535	0.01581	0.0198	0.02076
chr1	64838690	64838700	-	8.97485	0.02287	0.01573	0.01859	0.01768	0.02154
chr1	67558979	67558989	+	8.70569	0.02092	0.01105	0.02183	0.01999	0.02796
chr1	69567524	69567534	-	7.46801	0.10543	0.10531	0.08702	0.05649	0.07571
chr1	75615037	75615047	-	8.82178	0.04384	0.02487	0.03187	0.02944	0.04796
chr1	77281920	77281930	+	8.56029	0.09481	0.10726	0.08665	0.08929	0.15556
chr1	77489822	77489832	-	7.93587	0.00874	0.00506	0.00729	0.01317	0.01669
chr1	78036828	78036838	-	7.89121	0.0146	0.00638	0.01641	0.02325	0.02117
